,text,canonical_form_1,canonical_form_2,canonical_form_3,category_1,category_2,category_3,severity_rating,severity_description
383,cunts,cunt,,,sexual anatomy / sexual acts,,,2.6,Severe
384,cunty,cunt,,,sexual anatomy / sexual acts,,,2.8,Severe
385,cuntz,cunt,,,sexual anatomy / sexual acts,,,2.8,Severe
386,cuunt,cunt,,,sexual anatomy / sexual acts,,,2.6,Severe
387,cyberfck,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
388,cyberfcks,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong
389,cyberfuccs,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
390,cyberfucks,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
391,cyberfucs,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
392,cyberfukk,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
393,cyberfukks,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
394,cyberfvcks,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
395,d!ck,dick,,,sexual anatomy / sexual acts,,,1.0,Mild
396,d!cks,dick,,,sexual anatomy / sexual acts,,,1.0,Mild
397,d!ld0,dildo,,,sexual anatomy / sexual acts,,,1.4,Mild
398,d!ldo,dildo,,,sexual anatomy / sexual acts,,,1.4,Mild
399,d0ggy style,doggy style,,,sexual anatomy / sexual acts,,,1.8,Strong
400,d1ck,dick,,,sexual anatomy / sexual acts,,,1.0,Mild
401,d1ckhead,dick,,,sexual anatomy / sexual acts,,,1.8,Strong
402,d1ckheads,dick,,,sexual anatomy / sexual acts,,,1.8,Strong
403,d1cks,dick,,,sexual anatomy / sexual acts,,,1.4,Mild
404,d1cksucker,dick,,,sexual anatomy / sexual acts,,,1.8,Strong
405,d1cksukka,dick,,,sexual anatomy / sexual acts,,,2.0,Strong
406,d1ckz,dick,,,sexual anatomy / sexual acts,,,1.0,Mild
407,d1ldo,dildo,,,sexual anatomy / sexual acts,,,1.4,Mild
408,dafuq,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
411,darkfuck,fuck,darky,,sexual anatomy / sexual acts,racial / ethnic slurs,,2.4,Strong
413,darkshit,shit,,,bodily fluids / excrement,racial / ethnic slurs,,3.0,Severe
416,dick breath,dick,,,sexual anatomy / sexual acts,,,2.0,Strong
417,dick face,dick,,,sexual anatomy / sexual acts,,,1.8,Strong
418,dick fucker,fuck,dick,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
419,dick head,dick,,,sexual anatomy / sexual acts,,,1.8,Strong
420,dick licker,dick,,,sexual anatomy / sexual acts,,,2.4,Strong
421,dick milker,dick,,,sexual anatomy / sexual acts,,,2.2,Strong
422,dick nibbler,dick,,,sexual anatomy / sexual acts,,,2.4,Strong
423,dick smoker,dick,,,sexual anatomy / sexual acts,,,2.4,Strong
424,dick sucker,dick,,,sexual anatomy / sexual acts,,,2.2,Strong
425,dick-face,dick,,,sexual anatomy / sexual acts,,,1.8,Strong
426,dick-gobbler,dick,,,sexual anatomy / sexual acts,,,1.8,Strong
427,dick-head,dick,,,sexual anatomy / sexual acts,,,1.8,Strong
428,dickface,dick,,,sexual anatomy / sexual acts,,,2.0,Strong
429,dickfucker,dick,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
430,dickhead,dick,,,sexual anatomy / sexual acts,,,2.0,Strong
431,dickheads,dick,,,sexual anatomy / sexual acts,,,1.6,Strong
432,dickjockies,dick,,,sexual anatomy / sexual acts,,,2.2,Strong
433,dickless,dick,,,sexual anatomy / sexual acts,,,1.4,Mild
434,dicklicker,dick,,,sexual anatomy / sexual acts,,,2.2,Strong
435,dickmuncher,dick,,,sexual anatomy / sexual acts,,,2.0,Strong
436,dicks,dick,,,sexual anatomy / sexual acts,,,1.0,Mild
437,dickskin,dick,,,sexual anatomy / sexual acts,,,1.8,Strong
438,dickslapper,dick,,,sexual anatomy / sexual acts,,,1.8,Strong
439,dicksmoker,dick,,,sexual anatomy / sexual acts,,,2.8,Severe
440,dicksucker,dick,,,sexual anatomy / sexual acts,,,2.2,Strong
441,dickvag,dick,,,sexual anatomy / sexual acts,,,1.6,Strong
442,dickz,dick,,,sexual anatomy / sexual acts,,,1.2,Mild
443,diddle,diddle,,,sexual anatomy / sexual acts,,,1.0,Mild
444,dikhead,dick,,,sexual anatomy / sexual acts,,,1.6,Strong
445,diks,dick,,,sexual anatomy / sexual acts,,,1.2,Mild
446,dild0,dildo,,,sexual anatomy / sexual acts,,,1.0,Mild
448,dipsh1tty,shit,,,bodily fluids / excrement,,,1.6,Strong
449,dipshat,shit,,,bodily fluids / excrement,other / general insult,,1.2,Mild
450,dipshidiot,shit,,,bodily fluids / excrement,mental disability,,1.6,Strong
451,dipshit,shit,,,bodily fluids / excrement,,,1.4,Mild
452,dipshite,shit,,,bodily fluids / excrement,,,1.6,Strong
453,dipshits,shit,,,bodily fluids / excrement,mental disability,,1.6,Strong
454,dipshitter,shit,,,bodily fluids / excrement,mental disability,,1.6,Strong
455,dipshitty,shit,,,bodily fluids / excrement,mental disability,,1.8,Strong
456,dipstick,dipstick,,,sexual anatomy / sexual acts,mental disability,,1.2,Mild
457,dirty sanchez,dirty sanchez,,,sexual anatomy / sexual acts,,,2.4,Strong
458,dix,dick,,,sexual anatomy / sexual acts,,,1.0,Mild
459,dlck,dick,,,sexual anatomy / sexual acts,,,1.2,Mild
460,dlcks,dick,,,sexual anatomy / sexual acts,,,1.0,Mild
461,dog fuck,fuck,,,sexual anatomy / sexual acts,animal references,,2.8,Severe
462,dog fucker,fuck,,,sexual anatomy / sexual acts,animal references,,3.0,Severe
463,dog fucking,fuck,,,sexual anatomy / sexual acts,animal references,,2.8,Severe
464,dog shit,shit,,,bodily fluids / excrement,animal references,,1.2,Mild
465,dog-fucker,fuck,,,sexual anatomy / sexual acts,animal references,,2.8,Severe
466,dog's bollocks,bollocks,,,sexual anatomy / sexual acts,animal references,,1.2,Mild
467,doggo style,doggy style,,,sexual anatomy / sexual acts,animal references,,1.2,Mild
468,doggy style,doggy style,,,sexual anatomy / sexual acts,,,1.4,Mild
469,doggy_style,doggy style,,,sexual anatomy / sexual acts,animal references,,1.4,Mild
470,dogie style,doggy style,,,sexual anatomy / sexual acts,,,1.0,Mild
471,dogsh1t,shit,,,bodily fluids / excrement,other / general insult,,1.2,Mild
472,dogsh1ts,shit,,,bodily fluids / excrement,other / general insult,,1.0,Mild
473,dogshit,shit,,,bodily fluids / excrement,animal references,,1.0,Mild
474,dogshits,shit,,,bodily fluids / excrement,animal references,,1.4,Mild
475,dogstyle,doggy style,,,sexual anatomy / sexual acts,,,1.0,Mild
477,dong,dong,,,sexual anatomy / sexual acts,,,1.2,Mild
478,doosh,douche,,,bodily fluids / excrement,,,1.4,Mild
480,double dick,dick,,,sexual anatomy / sexual acts,,,1.6,Strong
481,double dicking,dick,,,sexual anatomy / sexual acts,,,2.2,Strong
482,double pen,double pen,,,sexual anatomy / sexual acts,,,1.2,Mild
483,double-dong,dong,,,sexual anatomy / sexual acts,,,1.4,Mild
484,douche,douche,,,sexual anatomy / sexual acts,,,1.0,Mild
486,douche canoe,douche,,,sexual anatomy / sexual acts,bodily fluids / excrement,,1.4,Mild
487,douchebag,douche,,,sexual anatomy / sexual acts,bodily fluids / excrement,,1.4,Mild
488,dumasses,ass,,,sexual anatomy / sexual acts,mental disability,,1.0,Mild
490,dumb fucker,fuck,,,sexual anatomy / sexual acts,mental disability,,2.0,Strong
491,dumb@ss,ass,,,sexual anatomy / sexual acts,mental disability,,1.2,Mild
494,dumbass fucker,fuck,ass,,sexual anatomy / sexual acts,mental disability,,2.6,Severe
495,dumbass mofoes,ass,motherfucker,,sexual anatomy / sexual acts,mental disability,,2.4,Strong
496,dumbass mothafuckers,motherfucker,ass,,sexual anatomy / sexual acts,mental disability,other / general insult,2.8,Severe
497,dumbass son-of-a-bitch,bitch,ass,,sexual anatomy / sexual acts,sexual orientation / gender,other / general insult,1.8,Strong
498,dumbasses,ass,,,sexual anatomy / sexual acts,mental disability,,1.0,Mild
499,dumbfucks,fuck,,,sexual anatomy / sexual acts,mental disability,,2.2,Strong
500,dumbshit,shit,,,bodily fluids / excrement,,,1.6,Strong
501,dump a load,dump a load,,,bodily fluids / excrement,,,1.6,Strong
503,dyke,dyke,,,sexual orientation / gender,,,2.8,Severe
504,erectoplasm,erectoplasm,,,bodily fluids / excrement,,,1.8,Strong
505,f_u_c_k,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
506,f'ed,fuck,,,sexual anatomy / sexual acts,,,1.8,Strong
507,f'er,fuck,,,sexual anatomy / sexual acts,,,1.6,Strong
508,f@ck,fuck,,,sexual anatomy / sexual acts,,,1.6,Strong
509,f@cker bunny,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
510,f@g,faggot,,,sexual orientation / gender,,,2.8,Severe
511,f@gg0t,faggot,,,sexual orientation / gender,,,3.0,Severe
512,f@gging,faggot,,,sexual orientation / gender,,,2.8,Severe
513,f@ggot,faggot,,,sexual orientation / gender,,,3.0,Severe
514,f@gs,faggot,,,sexual orientation / gender,,,3.0,Severe
515,f@gshit,shit,fag,,sexual orientation / gender,,,2.8,Severe
516,f@k,fuck,,,sexual anatomy / sexual acts,,,1.8,Strong
517,f0ck,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
518,f0cked,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
519,f0cker,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong
520,f0ckers,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
521,face fuck,fuck,,,sexual anatomy / sexual acts,,,2.8,Severe
522,fack,fuck,,,sexual anatomy / sexual acts,,,1.4,Mild
523,fackuhs,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
524,fag,faggot,,,sexual orientation / gender,,,2.8,Severe
525,fag asses,faggot,ass,,sexual orientation / gender,,,2.8,Severe
526,fag bag,faggot,,,sexual orientation / gender,,,2.8,Severe
527,fag hag,faggot,hag,,sexual orientation / gender,,,2.6,Severe
528,fag queen,faggot,,,sexual orientation / gender,,,2.8,Severe
529,fag0t,faggot,,,sexual orientation / gender,,,3.0,Severe
530,faget,faggot,,,sexual orientation / gender,,,3.0,Severe
531,fagg0t,faggot,,,sexual orientation / gender,,,3.0,Severe
532,fagging,faggot,,,sexual orientation / gender,,,3.0,Severe
533,faggo,faggot,,,sexual orientation / gender,,,2.8,Severe
534,faggot,faggot,,,sexual orientation / gender,,,2.8,Severe
535,faggot mofoes,faggot,motherfucker,,sexual anatomy / sexual acts,sexual orientation / gender,,3.0,Severe
536,faggot mothafuckers,motherfucker,faggot,,sexual anatomy / sexual acts,sexual orientation / gender,,3.0,Severe
537,faggot nob jokeys,faggot,knob,,sexual anatomy / sexual acts,sexual orientation / gender,,3.0,Severe
538,faggot nobjockies,faggot,knob,,sexual orientation / gender,sexual anatomy / sexual acts,,3.0,Severe
539,faggot son-of-a-bitch,faggot,bitch,,sexual orientation / gender,other / general insult,,3.0,Severe
540,faggoting,faggot,,,sexual orientation / gender,,,3.0,Severe
541,faggots,faggot,,,sexual orientation / gender,,,3.0,Severe
542,faggs,faggot,,,sexual orientation / gender,,,3.0,Severe
543,faggy,faggot,,,sexual orientation / gender,,,3.0,Severe
544,fagot,faggot,,,sexual orientation / gender,,,2.8,Severe
545,fags,faggot,,,sexual orientation / gender,,,3.0,Severe
546,fagshit,faggot,shit,,bodily fluids / excrement,sexual orientation / gender,,3.0,Severe
547,fart-fucker,fuck,,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.2,Strong
548,fatass,ass,,,sexual anatomy / sexual acts,physical attributes,,1.2,Mild
549,fatasses,ass,,,sexual anatomy / sexual acts,physical attributes,,1.2,Mild
550,fccuker,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
551,fck,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong
552,fck you,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
553,fcka,fuck,,,sexual anatomy / sexual acts,,,1.8,Strong
554,fckahz,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
555,fcked,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
556,fckedup,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong
557,fcker,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
558,fckin,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
559,fcking,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
560,Fckk,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
561,fckked,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong
562,fckking,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
563,fcks,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
564,fcktard,fuck,retard,,sexual anatomy / sexual acts,mental disability,,2.8,Severe
566,fcuk,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
567,fcuked,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
568,fcuker,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong
569,fcukers,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
570,fcuking,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
571,fcukker,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
572,fcuks,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
573,fcvking,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
574,feck,fuck,,,sexual anatomy / sexual acts,,,1.6,Strong
575,feck arse,arse,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
576,fecker,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
577,feg,faggot,,,sexual orientation / gender,,,2.4,Strong
578,fellatio aficionado,fellatio,,,sexual anatomy / sexual acts,,,2.0,Strong
579,fellator,fellatio,,,sexual anatomy / sexual acts,,,1.6,Strong
580,fick,fuck,,,sexual anatomy / sexual acts,,,1.6,Strong
581,finger,finger,,,sexual anatomy / sexual acts,,,1.0,Mild
582,finger fuck,fuck,,,sexual anatomy / sexual acts,,,2.6,Severe
583,fingerbanged,finger,,,sexual anatomy / sexual acts,,,1.6,Strong
584,fingerpop,finger,,,sexual anatomy / sexual acts,,,1.4,Mild
585,fk bunny,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
586,fkbny,fuck,,,sexual anatomy / sexual acts,,,1.6,Strong
587,fked,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong
588,fker,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
589,fking,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
590,fkings,fuck,,,sexual anatomy / sexual acts,,,1.8,Strong
591,fkker,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
592,flamer,flamer,,,sexual orientation / gender,,,2.0,Strong
593,flamers,flamer,,,sexual orientation / gender,,,2.8,Severe
594,focker,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong
595,fook,fuck,,,sexual anatomy / sexual acts,other / general insult,,1.6,Strong
596,fooker,fuck,,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong
597,fookuh,fuck,,,sexual anatomy / sexual acts,,,1.8,Strong
598,forked,fuck,,,sexual anatomy / sexual acts,,,1.0,Mild
599,fothermuckers,motherfucker,,,sexual anatomy / sexual acts,,,1.8,Strong
600,fuc,fuck,,,sexual anatomy / sexual acts,,,1.6,Strong
601,fucc,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong
602,fucca,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong
603,fuccers,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
604,fuccing,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
605,fuccs,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong
606,Fuck,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
607,fuck arse,fuck,arse,,sexual anatomy / sexual acts,sexual orientation / gender,,2.4,Strong
608,fuck face,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong
609,fuck faces,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
610,fuck goblin,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
611,fuck head,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong
612,fuck off,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong
613,fuck up,fuck,,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong
614,fuck y0u,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
615,fuck you,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
616,fuck your,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
617,fuck your mother,fuck,motherfucker,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
618,fucka,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
619,fuckahs,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong
620,fuckass,fuck,ass,,sexual anatomy / sexual acts,,,2.4,Strong
621,fuckasses,fuck,ass,,sexual anatomy / sexual acts,,,2.4,Strong
622,fuckaz,fuck,ass,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
623,fuckbag,fuck,,,sexual anatomy / sexual acts,,,2.6,Severe
624,fuckboy,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
625,fucked,fuck,,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong
626,fucked up,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
627,fuckem,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
628,fucker,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
629,fucker off,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
630,fuckers,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong
631,fuckface,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
632,fuckfaces,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
633,fuckhead,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
634,fuckheaded,fuck,,,sexual anatomy / sexual acts,mental disability,,2.6,Severe
635,fuckheads,fuck,,,sexual anatomy / sexual acts,,,2.6,Severe
636,fuckin,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong
637,fucking,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
638,fucking A,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
639,fucking asshole,fuck,ass,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
640,fucking bastard,fuck,bastard,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
641,fucking hell,fuck,hell,,sexual anatomy / sexual acts,religious offense,,2.0,Strong
642,fucking me,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
643,fucking retard,fuck,retard,,sexual anatomy / sexual acts,mental disability,,3.0,Severe
644,fucking shit,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,1.8,Strong
645,fuckk,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
646,fuckless,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
647,fuckmachine,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong
648,fucknuckle,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong
649,fucks,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong
650,fuckshit,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.4,Strong
651,fuckshitface,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.4,Strong
652,fuckshithead,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.8,Severe
653,fuckstar,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
654,fuckster,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
655,fuckstick,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
656,fucktard,fuck,retard,,sexual anatomy / sexual acts,mental disability,,2.8,Severe
657,fucktards,fuck,retard,,sexual anatomy / sexual acts,mental disability,,2.6,Severe
658,fuckup,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong
659,fuckwad,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
660,fuckwhore,fuck,whore,,sexual anatomy / sexual acts,,,2.6,Severe
661,fucs,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong
662,fucx,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
663,fudgefucker,fudge packer,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,bodily fluids / excrement,3.0,Severe
664,fudgepacker,fudge packer,,,sexual orientation / gender,,,2.4,Strong
665,fudgepackers,fudge packer,,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.2,Strong
666,fudgepackershitter,fudge packer,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,3.0,Severe
667,fudgepacking fucker,fudge packer,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,bodily fluids / excrement,3.0,Severe
668,fugged,fuck,,,sexual anatomy / sexual acts,,,1.8,Strong
669,fugger,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong
670,fuggerz,fuck,,,sexual anatomy / sexual acts,,,2.6,Severe
671,fuggings,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
673,fuk,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
674,fuk1n,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
675,fuk1ng,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
676,fukcs,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
677,fuker,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
678,fukheads,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
679,fukin,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
680,fuking,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
681,fukk,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
682,fukka,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
683,fukked,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
684,fukker,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
685,fukkers,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
686,fukking,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
687,fukkings,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
688,fukkuh,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
689,fuks,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
690,fuku,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
691,fukwhore,fuck,whore,,sexual anatomy / sexual acts,,,2.8,Severe
692,fukwit,fuck,,,sexual anatomy / sexual acts,mental disability,,2.2,Strong
693,full of shit,shit,,,bodily fluids / excrement,,,1.0,Mild
694,funbags,funbags,,,sexual anatomy / sexual acts,,,1.0,Mild
695,fuq,fuck,,,sexual anatomy / sexual acts,,,1.8,Strong
696,futhamucka,motherfucker,,,sexual anatomy / sexual acts,,,2.6,Severe
697,fux,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
698,fux0r,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
699,fvck,fuck,,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong
700,fvck you,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
701,fvcka,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
702,fvckbunny,fuck,,,sexual anatomy / sexual acts,animal references,,2.2,Strong
703,fvcker,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong
704,fvckers,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
705,fvckin,fuck,,,sexual anatomy / sexual acts,,,1.8,Strong
706,fvcking,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
707,fvckker bunny,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
708,fvckwhi,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
709,fxck,fuck,,,sexual anatomy / sexual acts,,,1.6,Strong
710,fxcked,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong
711,fxcker,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
712,fxcking,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
713,g@y b1tch,bitch,gay,,sexual orientation / gender,,,2.6,Severe
714,g@ylord,gay,,,sexual orientation / gender,,,1.8,Strong
715,g@yshit,shit,gay,,sexual orientation / gender,,,2.6,Severe
719,gash-stabber,gash-stabber,,,sexual anatomy / sexual acts,,,2.0,Strong
720,gay ass,gay,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
721,gay bitch,gay,bitch,,sexual orientation / gender,,,2.6,Severe
722,gay fuck,fuck,gay,,sexual orientation / gender,other / general insult,,2.6,Severe
723,gay fucker,fuck,gay,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
724,gay shit,gay,shit,,bodily fluids / excrement,sexual orientation / gender,,1.8,Strong
725,gay wad,gay,,,sexual orientation / gender,,,2.0,Strong
726,gayest,gay,,,sexual orientation / gender,,,1.0,Mild
727,gaylord,gay,,,sexual orientation / gender,,,1.6,Strong
728,gaylords,gay,,,sexual orientation / gender,,,2.2,Strong
729,gayness,gay,,,sexual orientation / gender,,,1.4,Mild
730,gaysian,gay,,,sexual orientation / gender,,,2.6,Severe
731,gaytard,gay,retard,,sexual orientation / gender,mental disability,,2.8,Severe
732,geebag,garbage bag,,,sexual orientation / gender,,,1.8,Strong
733,get fucked,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong
734,gin jockey,gin jockey,,,sexual anatomy / sexual acts,,,2.0,Strong
